exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	UKB_b	UKB_se	UKB_p	meta_direction	metabolite	ng_anno_label	INTERVAL_label	UKB_label	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label.no.units	ng_anno_derived
bmi	Total lipids in very large HDL (mmol/l)	-0.063742901420982	0.0184885659380491	0.000565396061802958	-0.087435469820632	0.0141782573831168	6.96549852282618e-10	1.16426412599329e-11	-0.0733065499765881	0.00354858692966953	1.49363789883128e-89	-0.210512522567552	0.0513069675144006	4.07826051717004e-05	- - - - -	xlhdll	xlhdll	xlhdll	xlhdll	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids	no
bmi	Concentration of very large HDL particles (mol/l)	-0.0626365539083307	0.0188256031993896	0.000877232722214872	-0.0557625083489897	0.0137990701772438	5.32160975179428e-05	8.34685054444571e-07	-6.37600947345106e-08	2.99218678056654e-09	7.83298296920454e-95	-0.225524361477491	0.0523703573111923	1.65980789466497e-05	- - - - -	xlhdlp	xlhdlp	xlhdlp	xlhdlp	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration	no
bmi	Phospholipids in very large HDL (mmol/l)	-0.0934334140468239	0.0190843946457577	9.79056965945116e-07	-0.0557625083489897	0.0137990701772438	5.32160975179428e-05	1.28575397717088e-09	-0.0407466984978299	0.00185013448621503	8.94464616867358e-101	-0.199267975839767	0.0501285853712684	7.03388636046273e-05	- - - - -	xlhdlpl	xlhdlpl	xlhdlpl	xlhdlpl	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids	no
whr	Apolipoprotein B (g/l)	0.249439710801822	0.059429806039149	2.70216629829408e-05	0.300646486335053	0.0557553118790028	6.95815225648068e-08	5.26451569135008e-11	0.0554573482695505	0.00309649050716813	1.06016431412849e-68	0.292697570888735	0.0731812507469571	6.34428918339001e-05	+ + + + +	apob	apob	apob	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B	no
whr	Triglycerides in IDL (mmol/l)	0.209775133613656	0.0518290556825133	5.17802498885148e-05	0.267000260886872	0.0414955098310597	1.23931491012167e-10	2.16130094112501e-13	0.00774185570418822	0.000502097916099593	6.01430926159867e-52	0.352432893439455	0.108374147553537	0.00114595405794672	+ + + + +	idltg	idltg	idltg	idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides	no
whr	Isoleucine (mmol/l)	0.263462270540794	0.0445272458868189	3.28110374324831e-09	0.255056143942635	0.0321979299196138	2.34648065342083e-15	4.17449580166639e-22	0.00413983842400165	0.000202627867545515	9.71550228477306e-88	0.111798339563729	0.0962021628780245	0.24518722251125	+ + + + +	ile	ile	ile	ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Isoleucine	no
whr	Lactate (mmol/l)	0.156345972277118	0.0409368674366444	0.000133886661978721	0.0540387966532575	0.0342275021384288	0.114379148129476	0.000185094636164105	0.0453112263360474	0.00617635662069768	2.71691229896889e-13	0.0745835039706564	0.0533624659343809	0.162210012706273	+ + + + +	lactate	lac	lac	lactate	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Lactate	no
whr	Leucine (mmol/l)	0.202455907322411	0.0417745871453923	1.25728762899267e-06	0.243727998822879	0.0316569196683852	1.37088594356512e-14	8.01598655591773e-19	0.00248593677893236	0.000172933519060108	1.43889117188454e-45	0.151187147419537	0.105331593778543	0.151188889034077	+ + + + +	leu	leu	leu	leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Leucine	no
whr	Free cholesterol in large VLDL (mmol/l)	0.267009031091935	0.0533810005433587	5.67536678035681e-07	0.206829324378824	0.037168198843351	2.62626144071819e-08	4.89436574937154e-13	0.0076946989785484	0.000334284044220463	2.7385678217276e-109	0.635848332110913	0.161831474309775	8.52725151143201e-05	+ + + + +	lvldlfc	lvldlfc	lvldlfc	lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol	no
whr	Total lipids in large VLDL (mmol/l)	0.252774582659318	0.0545441585009791	3.5812860656688e-06	0.382466835842174	0.0466847665142388	2.55769328586465e-16	4.52880785979339e-20	0.067739362666203	0.00287310857286228	3.43574531376502e-114	0.622741975324308	0.161880322877183	0.00011960801351557	+ + + + +	lvldll	lvldll	lvldll	lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids	no
